Date,Narration,Voucher Type,Debit,Credit,Amount,Bank Ledger,Contra Ledger,Balance,Reference
01-04-2025,IMPS-509113708718-PHONEPEPRIVATELIMI-UTI,Receipt,,990.00,990.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,189371.48,0000509113708718
02-04-2025,B-XXXXXXXXXXX8715-F09M22566A6JALZHREDE TION,Receipt,,325.00,325.00,H D F C Bank Jhabua 50200060244460,A,189696.48,MP
02-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040244855,Receipt,,100000.00,100000.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,289696.48,UTIBN62025040244855200
03-04-2025,IMPS-509214230091-SATISHBHAIVALLABHBH-G SCB-XXXXXXXXXXXXX0666-1234,Receipt,,660.00,660.00,H D F C Bank Jhabua 50200060244460,A,290356.48,0000509214230091
03-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040356360,Receipt,,19400.00,19400.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,309756.48,UTIBN62025040356360365
03-04-2025,CHQDEP-MICR8CLEARING-ALIRAJPUR:A DHIKSHAKBALAKAASHRAMIBADA:STATE BANK OFINDIA,Receipt,,37225.00,37225.00,H D F C Bank Jhabua 50200060244460,A,346981.48,0000000000658169
03-04-2025,CHQDEP-MICR8CLEARING-ALIRAJPUR:A DHIKSHIKAGOVTADIWASIKANYASENIORCH :S TATEBANKOFINDIA,Receipt,,15335.00,15335.00,H D F C Bank Jhabua 50200060244460,Govt. Adiwasi Kanya School,362316.48,0000000000824312
03-04-2025,CHQDEP-MICR8CLEARING-ALIRAJPUR:A DHIKSHAKGOVTADIWASIBALAKSENIORCHB :ST ATEBANKOFINDIA,Receipt,,18500.00,18500.00,H D F C Bank Jhabua 50200060244460,A,380816.48,0000000000697732
03-04-2025,TEBANKOFINDIA,Receipt,,8200.00,8200.00,H D F C Bank Jhabua 50200060244460,A,389016.48,0000000000697731
04-04-2025,CHQDEP-MICR8CLEARING-ALIRAJPUR:A DHIKSHAKGOVTADIWASIBALAKSENIORCHB :S TATEBANKOFINDIA,Receipt,,50340.00,50340.00,H D F C Bank Jhabua 50200060244460,A,439356.48,UTIBN62025040468168567
04-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040468168,Payment,30000.00,,30000.00,H D F C Bank Jhabua 50200060244460,A,409356.48,HDFCN52025040457320549
