Date,Narration,Voucher Type,Debit,Credit,Amount,Bank Ledger,Contra Ledger,Balance,Reference
31-03-2026,"31/03/2026 31/03/2026 EBANK:1501974810/mintifi/114403959766/ CCAVENUES I 1,01,455.81",Payment,101455.81,,101455.81,Bank Account,A,191045.64,
31-03-2026,"31/03/2026 31/03/2026 NEFT-BARBS26090197557-RAHUL 60,210.00 AGENCIES-AXIS BANK LT",Payment,60210.00,,60210.00,Bank Account,Axis Bank Ltd,251255.64,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 5.60 :003552116981,Payment,5.60,,5.60,Bank Account,BANK CHARGES,251261.24,
31-03-2026,"31/03/2026 31/03/2026 NEFT-BARBS26090195654-THE 30,549.00 DISTRIBUTION CHANNEL-HDF",Payment,30549.00,,30549.00,Bank Account,A,281810.24,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 5.60 :003552115215,Payment,5.60,,5.60,Bank Account,BANK CHARGES,281815.84,
31-03-2026,"31/03/2026 31/03/2026 MBK/609005481959/22:30:00/SIDDHANT 17,857.00 AGENCIES BHABR",Payment,17857.00,,17857.00,Bank Account,A,299672.84,
31-03-2026,31/03/2026 31/03/2026 NEFT-BARBS26090195285-AADESH 200.00 ENTERPRISES-I.C.I.C.I,Payment,200.00,,200.00,Bank Account,A,299872.84,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 2.65 :003552114624,Payment,2.65,,2.65,Bank Account,BANK CHARGES,299875.49,
31-03-2026,"31/03/2026 31/03/2026 NEFT-BARBS26090195092-ATHARV 8,309.00 AGENCY-HDFC BANK LTD.",Payment,8309.00,,8309.00,Bank Account,A,308184.49,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 2.65 :003552113921,Payment,2.65,,2.65,Bank Account,BANK CHARGES,308187.14,
31-03-2026,"31/03/2026 31/03/2026 NEFT-BARBR26090822580-JYOTI SELS 24,540.00 KUKSHI-HDFC BANK",Payment,24540.00,,24540.00,Bank Account,A,332727.14,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 5.60 :003551721176,Payment,5.60,,5.60,Bank Account,BANK CHARGES,332732.74,
31-03-2026,"31/03/2026 31/03/2026 MBK/609003033639/18:43:46/SIDDHANT 1,149.00 to anisha mark",Payment,1149.00,,1149.00,Bank Account,Sarkk & Associates,333881.74,
31-03-2026,"31/03/2026 31/03/2026 MBK/609003016064/18:42:14/SIDDHANT 60,210.00 to anisha mark",Payment,60210.00,,60210.00,Bank Account,Sarkk & Associates,394091.74,
31-03-2026,"31/03/2026 31/03/2026 NEFT-BARBR26090785511-RIDIT 68,233.00 ENTERPRISES-HDFC BANK",Payment,68233.00,,68233.00,Bank Account,A,462324.74,
31-03-2026,31/03/2026 31/03/2026 Charges for PORD Customer Payment 5.60 :003551683618,Payment,5.60,,5.60,Bank Account,BANK CHARGES,462330.34,
27-03-2026,"27/03/2026 27/03/2026 EBANK:1501129499/mintifi/114393215655/ CCAVENUES I 2,00,000.00",Payment,200000.00,,200000.00,Bank Account,A,662330.34,
26-03-2026,"26/03/2026 26/03/2026 By DD Num 374490 Paid 2,70,000.00",Receipt,,270000.00,270000.00,Bank Account,A,392330.34,
26-03-2026,"26/03/2026 26/03/2026 NEFT-BARBR26085542748-AADESH 9,847.00 ENTERPRISES-I.C.I.C.I",Payment,9847.00,,9847.00,Bank Account,A,402177.34,
26-03-2026,26/03/2026 26/03/2026 Charges for PORD Customer Payment 2.65 :003538359889,Payment,2.65,,2.65,Bank Account,BANK CHARGES,402179.99,
26-03-2026,"26/03/2026 26/03/2026 BY INST 737090 - MICR CLG (CTS) 40,000.00",Receipt,,40000.00,40000.00,Bank Account,A,362179.99,
25-03-2026,"25/03/2026 25/03/2026 MBK/608445079078/19:24:36/rtb 60,000.00",Receipt,,60000.00,60000.00,Bank Account,A,302179.99,
25-03-2026,"25/03/2026 25/03/2026 NEFT-BARBZ26084763180-AADESH 76,270.00 ENTERPRISES PVT LT-I.",Payment,76270.00,,76270.00,Bank Account,A,378449.99,
